Plan,Asignatura id,Asignatura,Nivel,Prerequisitos,Prerequisitos.1
HP2,HP21635,ÉXTASIS (Exámenes Terribles de Alta Sabiduría e Invocaciones Secretas),10.0,egreso,
HP2,HP21635,ÉXTASIS (Exámenes Terribles de Alta Sabiduría e Invocaciones Secretas),10.0,egreso,
HP2,HP23450,TEORIA MAGICA I,1.0,Ingreso,
HP2,HP23450,TEORIA MAGICA I,1.0,Ingreso,
HP2,HP23451,RUNAS ANTIGUAS,1.0,Ingreso,
HP2,HP23451,RUNAS ANTIGUAS,1.0,Ingreso,
HP2,HP23453,HISTORIA DEL MAGIA,1.0,Ingreso,
HP2,HP23453,HISTORIA DEL MAGIA,1.0,Ingreso,
HP2,HP23455,TEORIA DE LA MAGIA,1.0,Ingreso,
HP2,HP23455,TEORIA DE LA MAGIA,1.0,Ingreso,
HP2,HP23456,MAGIA POLITICA,2.0,Ingreso,
HP2,HP23456,MAGIA POLITICA,2.0,Ingreso,
HP2,HP23457,ENCANTAMIENTOS  I,2.0,4440,
HP2,HP23457,ENCANTAMIENTOS  I,2.0,4440,
HP2,HP23458,ESTUDIOS DE DEMONIOS NECROFAGOS  I,2.0,ingreso,
HP2,HP23458,ESTUDIOS DE DEMONIOS NECROFAGOS  I,2.0,ingreso,
HP2,HP23459,TEORIA MAGICA II,2.0,3450,
HP2,HP23459,TEORIA MAGICA II,2.0,3450,
HP2,HP23461,ESTUDIOS MUGGLE,3.0,3456,
HP2,HP23461,ESTUDIOS MUGGLE,3.0,3456,
HP2,HP23462,ENCANTAMIENTOS  II,3.0,3457,
HP2,HP23462,ENCANTAMIENTOS  II,3.0,3457,
HP2,HP23463,ESTUDIOS DE DEMONIOS NECROFAGOS  II,3.0,3458,
HP2,HP23463,ESTUDIOS DE DEMONIOS NECROFAGOS  II,3.0,3458,
HP2,HP23464,MAGIA INTERNACIONAL PRIVADA,3.0,ingreso,
HP2,HP23464,MAGIA INTERNACIONAL PRIVADA,3.0,ingreso,
HP2,HP23467,POCIONES I,4.0,3461,
HP2,HP23467,POCIONES I,4.0,3461,
HP2,HP23468,ENCANTAMIENTOS  III,4.0,3462,
HP2,HP23468,ENCANTAMIENTOS  III,4.0,3462,
HP2,HP23469,ESTUDIOS DE DEMONIOS NECROFAGOS  III,4.0,3463,
HP2,HP23469,ESTUDIOS DE DEMONIOS NECROFAGOS  III,4.0,3463,
HP2,HP23470,ADIVINACION  I,4.0,3463,
HP2,HP23470,ADIVINACION  I,4.0,3463,
HP2,HP23473,POCIONES II,5.0,3467,
HP2,HP23473,POCIONES II,5.0,3467,
HP2,HP23474,ENCANTAMIENTOS  IV,5.0,3468,
HP2,HP23474,ENCANTAMIENTOS  IV,5.0,3468,
HP2,HP23475,ESTUDIOS DE DEMONIOS NECROFAGOS  IV,5.0,3469,
HP2,HP23475,ESTUDIOS DE DEMONIOS NECROFAGOS  IV,5.0,3469,
HP2,HP23476,ADIVINACION  II,5.0,3470,
HP2,HP23476,ADIVINACION  II,5.0,3470,
HP2,HP23479,MAGIA BLANCA,6.0,3473,
HP2,HP23479,MAGIA BLANCA,6.0,3473,
HP2,HP23480,ENCANTAMIENTOS  V,6.0,3474,
HP2,HP23480,ENCANTAMIENTOS  V,6.0,3474,
HP2,HP23481,MAGIA DEL TRABAJO,7.0,3468,3469.0
HP2,HP23481,MAGIA DEL TRABAJO,7.0,3468,3469.0
HP2,HP23482,ADIVINACION  III,6.0,3476,
HP2,HP23482,ADIVINACION  III,6.0,3476,
HP2,HP23485,TEORIA MAGICA III,7.0,3459,
HP2,HP23485,TEORIA MAGICA III,7.0,3459,
HP2,HP23486,ENCANTAMIENTOS  VI,7.0,3480,
HP2,HP23486,ENCANTAMIENTOS  VI,7.0,3480,
HP2,HP23487,ESTUDIOS DE DEMONIOS NECROFAGOS  V,6.0,3475,
HP2,HP23487,ESTUDIOS DE DEMONIOS NECROFAGOS  V,6.0,3475,
HP2,HP23488,MAGIA NEGRA,7.0,Ingreso,
HP2,HP23488,MAGIA NEGRA,7.0,Ingreso,
HP2,HP23489,OROCRUX,8.0,3485,
HP2,HP23489,OROCRUX,8.0,3485,
HP2,HP23490,XILOMANCIA,8.0,3481,
HP2,HP23490,XILOMANCIA,8.0,3481,
HP2,HP23491,MAGIA DE SOCIEDADES,8.0,3488,
HP2,HP23491,MAGIA DE SOCIEDADES,8.0,3488,
HP2,HP23492,REUNIÓN MAGICA  I,9.0,3487,3486.0
HP2,HP23492,REUNIÓN MAGICA  I,9.0,3487,3486.0
HP2,HP23493,ARTES OSCURAS I,9.0,3486,
HP2,HP23493,ARTES OSCURAS I,9.0,3486,
HP2,HP23494,PREPARACIÓN T.I.M.O,9.0,,
HP2,HP23494,PREPARACIÓN T.I.M.O,9.0,,
HP2,HP23495,REUNIÓN MAGICA  II,10.0,3492,
HP2,HP23495,REUNIÓN MAGICA  II,10.0,3492,
HP2,HP23509,ARTES OSCURAS II,10.0,3509,
HP2,HP23509,ARTES OSCURAS II,10.0,3509,
HP2,HP23510,ELECTIVO AREA: RECURSOS NECRÓFAGOS,7.0,L,
HP2,HP23869,ELECTIVO AREA:  DEMONIOS NECROFAGOS,7.0,L,
HP2,HP23870,ELECTIVO AREA: MAGIA SUCESORIAS,8.0,L,
HP2,HP23947,ELECTIVO AREA: RECURSOS DEMONIOS NECRÓFAGOS,7.0,L,
HP2,HP24090,TALLER DE LIBRO REGLAMENTARIO DE HECHIZOS,1.0,B,
HP2,HP24440,INTRODUCCION AL LOS ENCANTAMIENTOS,1.0,Ingreso,
HP2,HP24441,ESTUDIOS DE DEMONIOS NECROFAGOS  VI,7.0,3487,
HP2,HP24442,ENCANTAMIENTOS  VII,8.0,3486,
HP2,HP24444,FUNDAMENTOS FILOSOFICOS DE LA MAGIA,10.0,L,
HP2,HP25150,"CTI: MAGIAS HUMANOS, INCLUSIÓN Y CIUDADANÍA",6.0,B v L,
HP2,HP25151,CTI: COMUNICACIÓN EFECTIVA E INTERACCIÓN HUMANA,6.0,B v L,
HP2,HP25152,CTI: USABILIDAD,6.0,B v L,
HP2,HP210062,TALLER DE COMPETENCIAS ORALES MAGICAS,1.0,B v L,
HP2,HP210085,TUTORÍAS DE INTEGRACIÓN Y AJUSTE A LA VIDA EN HOGWARTS,1.0,por fijar,
HP2,HP210085,TUTORÍAS DE INTEGRACIÓN Y AJUSTE A LA VIDA EN HOGWARTS,1.0,por fijar,
HW2,HW21635,ÉXTASIS (Exámenes Terribles de Alta Sabiduría e Invocaciones Secretas),10.0,por fijar,
HW2,HW21635,ÉXTASIS (Exámenes Terribles de Alta Sabiduría e Invocaciones Secretas),10.0,por fijar,
HW2,HW23450,TEORIA MAGICA I,1.0,Ingreso,
HW2,HW23450,TEORIA MAGICA I,1.0,Ingreso,
HW2,HW23451,RUNAS ANTIGUAS,1.0,Ingreso,
HW2,HW23451,RUNAS ANTIGUAS,1.0,Ingreso,
HW2,HW23453,HISTORIA DEL MAGIA,1.0,Ingreso,
HW2,HW23453,HISTORIA DEL MAGIA,1.0,Ingreso,
HW2,HW23455,TEORIA DE LA MAGIA,1.0,Ingreso,
HW2,HW23455,TEORIA DE LA MAGIA,1.0,Ingreso,
HW2,HW23456,MAGIA POLITICA,2.0,Ingreso,
HW2,HW23456,MAGIA POLITICA,2.0,Ingreso,
HW2,HW23457,ENCANTAMIENTOS  I,2.0,4440,
HW2,HW23457,ENCANTAMIENTOS  I,2.0,4440,
HW2,HW23458,ESTUDIOS DE DEMONIOS NECROFAGOS  I,2.0,ingreso,
HW2,HW23458,ESTUDIOS DE DEMONIOS NECROFAGOS  I,2.0,ingreso,
HW2,HW23459,TEORIA MAGICA II,2.0,3450,
HW2,HW23459,TEORIA MAGICA II,2.0,3450,
HW2,HW23461,ESTUDIOS MUGGLE,3.0,3456,
HW2,HW23461,ESTUDIOS MUGGLE,3.0,3456,
HW2,HW23462,ENCANTAMIENTOS  II,3.0,3457,
HW2,HW23462,ENCANTAMIENTOS  II,3.0,3457,
HW2,HW23463,ESTUDIOS DE DEMONIOS NECROFAGOS  II,3.0,3458,
HW2,HW23463,ESTUDIOS DE DEMONIOS NECROFAGOS  II,3.0,3458,
HW2,HW23464,MAGIA INTERNACIONAL PRIVADA,3.0,ingreso,
HW2,HW23464,MAGIA INTERNACIONAL PRIVADA,3.0,ingreso,
HW2,HW23467,POCIONES I,4.0,3461,
HW2,HW23467,POCIONES I,4.0,3461,
HW2,HW23468,ENCANTAMIENTOS  III,4.0,3462,
HW2,HW23468,ENCANTAMIENTOS  III,4.0,3462,
HW2,HW23469,ESTUDIOS DE DEMONIOS NECROFAGOS  III,4.0,3463,
HW2,HW23469,ESTUDIOS DE DEMONIOS NECROFAGOS  III,4.0,3463,
HW2,HW23470,ADIVINACION  I,4.0,3463,
HW2,HW23470,ADIVINACION  I,4.0,3463,
HW2,HW23473,POCIONES II,5.0,3467,
HW2,HW23473,POCIONES II,5.0,3467,
HW2,HW23474,ENCANTAMIENTOS  IV,5.0,3468,
HW2,HW23474,ENCANTAMIENTOS  IV,5.0,3468,
HW2,HW23475,ESTUDIOS DE DEMONIOS NECROFAGOS  IV,5.0,3469,
HW2,HW23475,ESTUDIOS DE DEMONIOS NECROFAGOS  IV,5.0,3469,
HW2,HW23476,ADIVINACION  II,5.0,3470,
HW2,HW23476,ADIVINACION  II,5.0,3470,
HW2,HW23479,MAGIA BLANCA,6.0,3473,
HW2,HW23479,MAGIA BLANCA,6.0,3473,
HW2,HW23480,ENCANTAMIENTOS  V,6.0,3474,
HW2,HW23480,ENCANTAMIENTOS  V,6.0,3474,
HW2,HW23481,MAGIA DEL TRABAJO,7.0,3468,3469.0
HW2,HW23481,MAGIA DEL TRABAJO,7.0,3468,3469.0
HW2,HW23482,ADIVINACION  III,6.0,3476,
HW2,HW23482,ADIVINACION  III,6.0,3476,
HW2,HW23485,TEORIA MAGICA III,7.0,3459,
